variables=x1, x2, respond
-2 -2 2190.66
-2 -1.95 2164.56
-2 -1.9 2138.71
-2 -1.85 2113.11
-2 -1.8 2087.76
-2 -1.75 2062.66
-2 -1.7 2037.81
-2 -1.65 2013.21
-2 -1.6 1988.85
-2 -1.55 1964.75
-2 -1.5 1940.89
-2 -1.45 1917.29
-2 -1.4 1893.93
-2 -1.35 1870.83
-2 -1.3 1847.97
-2 -1.25 1825.36
-2 -1.2 1803
-2 -1.15 1780.89
-2 -1.1 1759.04
-2 -1.05 1737.43
-2 -1 1716.07
-2 -0.95 1694.95
-2 -0.9 1674.09
-2 -0.85 1653.48
-2 -0.8 1633.12
-2 -0.75 1613.01
-2 -0.7 1593.14
-2 -0.65 1573.53
-2 -0.6 1554.16
-2 -0.55 1535.05
-2 -0.5 1516.18
-2 -0.45 1497.56
-2 -0.4 1479.2
-2 -0.35 1461.08
-2 -0.3 1443.21
-2 -0.25 1425.59
-2 -0.2 1408.22
-2 -0.15 1391.1
-2 -0.1 1374.23
-2 -0.05 1357.61
-2 1.20737e-15 1341.24
-2 0.05 1325.12
-2 0.1 1309.24
-2 0.15 1293.62
-2 0.2 1278.25
-2 0.25 1263.12
-2 0.3 1248.25
-2 0.35 1233.62
-2 0.4 1219.24
-2 0.45 1205.12
-2 0.5 1191.24
-2 0.55 1177.61
-2 0.6 1164.23
-2 0.65 1151.1
-2 0.7 1138.22
-2 0.75 1125.59
-2 0.8 1113.21
-2 0.85 1101.08
-2 0.9 1089.2
-2 0.95 1077.57
-2 1 1066.18
-2 1.05 1055.05
-2 1.1 1044.17
-2 1.15 1033.53
-2 1.2 1023.14
-2 1.25 1013.01
-2 1.3 1003.12
-2 1.35 993.485
-2 1.4 984.097
-2 1.45 974.958
-2 1.5 966.069
-2 1.55 957.43
-2 1.6 949.04
-2 1.65 940.899
-2 1.7 933.008
-2 1.75 925.366
-2 1.8 917.974
-2 1.85 910.831
-2 1.9 903.937
-2 1.95 897.293
-2 2 890.898
-1.95 -2 2120.86
-1.95 -1.95 2094.81
-1.95 -1.9 2069.01
-1.95 -1.85 2043.46
-1.95 -1.8 2018.16
-1.95 -1.75 1993.1
-1.95 -1.7 1968.3
-1.95 -1.65 1943.75
-1.95 -1.6 1919.45
-1.95 -1.55 1895.39
-1.95 -1.5 1871.59
-1.95 -1.45 1848.03
-1.95 -1.4 1824.73
-1.95 -1.35 1801.67
-1.95 -1.3 1778.87
-1.95 -1.25 1756.31
-1.95 -1.2 1734
-1.95 -1.15 1711.94
-1.95 -1.1 1690.13
-1.95 -1.05 1668.57
-1.95 -1 1647.26
-1.95 -0.95 1626.2
-1.95 -0.9 1605.39
-1.95 -0.85 1584.83
-1.95 -0.8 1564.52
-1.95 -0.75 1544.46
-1.95 -0.7 1524.64
-1.95 -0.65 1505.08
-1.95 -0.6 1485.76
-1.95 -0.55 1466.7
-1.95 -0.5 1447.88
-1.95 -0.45 1429.32
-1.95 -0.4 1411
-1.95 -0.35 1392.93
-1.95 -0.3 1375.11
-1.95 -0.25 1357.55
-1.95 -0.2 1340.23
-1.95 -0.15 1323.16
-1.95 -0.1 1306.34
-1.95 -0.05 1289.76
-1.95 1.20737e-15 1273.44
-1.95 0.05 1257.37
-1.95 0.1 1241.55
-1.95 0.15 1225.98
-1.95 0.2 1210.65
-1.95 0.25 1195.58
