variables=x1, x2, respond
-2 -2 3609
-2 -1.95 3549.25
-2 -1.9 3490
-2 -1.85 3431.25
-2 -1.8 3373
-2 -1.75 3315.25
-2 -1.7 3258
-2 -1.65 3201.25
-2 -1.6 3145
-2 -1.55 3089.25
-2 -1.5 3034
-2 -1.45 2979.25
-2 -1.4 2925
-2 -1.35 2871.25
-2 -1.3 2818
-2 -1.25 2765.25
-2 -1.2 2713
-2 -1.15 2661.25
-2 -1.1 2610
-2 -1.05 2559.25
-2 -1 2509
-2 -0.95 2459.25
-2 -0.9 2410
-2 -0.85 2361.25
-2 -0.8 2313
-2 -0.75 2265.25
-2 -0.7 2218
-2 -0.65 2171.25
-2 -0.6 2125
-2 -0.55 2079.25
-2 -0.5 2034
-2 -0.45 1989.25
-2 -0.4 1945
-2 -0.35 1901.25
-2 -0.3 1858
-2 -0.25 1815.25
-2 -0.2 1773
-2 -0.15 1731.25
-2 -0.1 1690
-2 -0.05 1649.25
-2 1.20737e-15 1609
-2 0.05 1569.25
-2 0.1 1530
-2 0.15 1491.25
-2 0.2 1453
-2 0.25 1415.25
-2 0.3 1378
-2 0.35 1341.25
-2 0.4 1305
-2 0.45 1269.25
-2 0.5 1234
-2 0.55 1199.25
-2 0.6 1165
-2 0.65 1131.25
-2 0.7 1098
-2 0.75 1065.25
-2 0.8 1033
-2 0.85 1001.25
-2 0.9 970
-2 0.95 939.25
-2 1 909
-2 1.05 879.25
-2 1.1 850
-2 1.15 821.25
-2 1.2 793
-2 1.25 765.25
-2 1.3 738
-2 1.35 711.25
-2 1.4 685
-2 1.45 659.25
-2 1.5 634
-2 1.55 609.25
-2 1.6 585
-2 1.65 561.25
-2 1.7 538
-2 1.75 515.25
-2 1.8 493
-2 1.85 471.25
-2 1.9 450
-2 1.95 429.25
-2 2 409
-1.95 -2 3375.6
-1.95 -1.95 3317.83
-1.95 -1.9 3260.55
-1.95 -1.85 3203.78
-1.95 -1.8 3147.5
-1.95 -1.75 3091.73
-1.95 -1.7 3036.45
-1.95 -1.65 2981.68
-1.95 -1.6 2927.4
-1.95 -1.55 2873.63
-1.95 -1.5 2820.35
-1.95 -1.45 2767.58
-1.95 -1.4 2715.3
-1.95 -1.35 2663.53
-1.95 -1.3 2612.25
-1.95 -1.25 2561.48
-1.95 -1.2 2511.2
-1.95 -1.15 2461.43
-1.95 -1.1 2412.15
-1.95 -1.05 2363.38
-1.95 -1 2315.1
-1.95 -0.95 2267.33
-1.95 -0.9 2220.05
-1.95 -0.85 2173.28
-1.95 -0.8 2127
-1.95 -0.75 2081.23
-1.95 -0.7 2035.95
-1.95 -0.65 1991.18
-1.95 -0.6 1946.9
-1.95 -0.55 1903.13
-1.95 -0.5 1859.85
-1.95 -0.45 1817.08
-1.95 -0.4 1774.8
-1.95 -0.35 1733.03
-1.95 -0.3 1691.75
-1.95 -0.25 1650.98
-1.95 -0.2 1610.7
-1.95 -0.15 1570.93
-1.95 -0.1 1531.65
-1.95 -0.05 1492.88
-1.95 1.20737e-15 1454.6
-1.95 0.05 1416.83
-1.95 0.1 1379.55
-1.95 0.15 1342.78
-1.95 0.2 1306.5
-1.95 0.25 1270.73
-1.95 0.3 1235.45
-1.95 0.35 1200.68
-1.95 0.4 1166.4
-1.95 0.45 1132.63
-1.95 0.5 1099.35
-1.95 0.55 1066.58
-1.95 0.6 1034.3
-1.95 0.65 1002.53
-1.95 0.7 971.253
-1.95 0.75 940.478
-1.95 0.8 910.203
-1.95 0.85 880.428
-1.95 0.9 851.153
-1.95 0.95 822.378
-1.95 1 794.103
-1.95 1.05 766.328
-1.95 1.1 739.053
-1.95 1.15 712.278
-1.95 1.2 686.003
-1.95 1.25 660.228
-1.95 1.3 634.953
-1.95 1.35 610.178
-1.95 1.4 585.903
-1.95 1.45 562.128
-1.95 1.5 538.853
-1.95 1.55 516.078
-1.95 1.6 493.803
-1.95 1.65 472.028
-1.95 1.7 450.753
-1.95 1.75 429.978
-1.95 1.8 409.703
-1.95 1.85 389.928
-1.95 1.9 370.653
-1.95 1.95 351.878
-1.95 2 333.603
-1.9 -2 3155.62
-1.9 -1.95 3099.77
-1.9 -1.9 3044.42
-1.9 -1.85 2989.57
-1.9 -1.8 2935.22
-1.9 -1.75 2881.37
-1.9 -1.7 2828.02
-1.9 -1.65 2775.17
-1.9 -1.6 2722.82
-1.9 -1.55 2670.97
-1.9 -1.5 2619.62
-1.9 -1.45 2568.77
-1.9 -1.4 2518.42
-1.9 -1.35 2468.57
-1.9 -1.3 2419.22
-1.9 -1.25 2370.37
-1.9 -1.2 2322.02
-1.9 -1.15 2274.17
-1.9 -1.1 2226.82
-1.9 -1.05 2179.97
-1.9 -1 2133.62
-1.9 -0.95 2087.77
-1.9 -0.9 2042.42
-1.9 -0.85 1997.57
-1.9 -0.8 1953.22
-1.9 -0.75 1909.37
-1.9 -0.7 1866.02
-1.9 -0.65 1823.17
-1.9 -0.6 1780.82
-1.9 -0.55 1738.97
-1.9 -0.5 1697.62
-1.9 -0.45 1656.77
-1.9 -0.4 1616.42
-1.9 -0.35 1576.57
-1.9 -0.3 1537.22
-1.9 -0.25 1498.37
-1.9 -0.2 1460.02
-1.9 -0.15 1422.17
-1.9 -0.1 1384.82
-1.9 -0.05 1347.97
